Error Id,Created At,Job Run Id,Job Type,Error Type,Error Details,File Name,File Path,Origin,Operation,Code,Occurrence
bbaa2dae-580e-4ee1-bb36-eac75eafd159,Fri Oct 10 2025 13:44:31 GMT+0530 (India Standard Time),fd9f2b45-543d-45bc-af09-3a897abf84b0,MIGRATE,RECOVERABLE_ERROR,"ENOENT: no such file or directory, open '/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0026.txt'",/._file_0026.txt,/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0026.txt,Destination,Copy Content,OP_FILE_NOT_FOUND,1
dfe59b1c-bc3f-4147-a2a9-5ffebb55353f,Fri Oct 10 2025 13:44:31 GMT+0530 (India Standard Time),fd9f2b45-543d-45bc-af09-3a897abf84b0,MIGRATE,RECOVERABLE_ERROR,"ENOENT: no such file or directory, open '/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0030.txt'",/._file_0030.txt,/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0030.txt,Destination,Copy Content,OP_FILE_NOT_FOUND,1
3778bab6-55e0-4233-b82f-15fd714b8dc1,Fri Oct 10 2025 13:44:31 GMT+0530 (India Standard Time),fd9f2b45-543d-45bc-af09-3a897abf84b0,MIGRATE,RECOVERABLE_ERROR,"ENOENT: no such file or directory, open '/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0032.txt'",/._file_0032.txt,/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0032.txt,Destination,Copy Content,OP_FILE_NOT_FOUND,1
37316a69-5163-4476-b103-0e7e768bc5c7,Fri Oct 10 2025 13:44:31 GMT+0530 (India Standard Time),fd9f2b45-543d-45bc-af09-3a897abf84b0,MIGRATE,RECOVERABLE_ERROR,"ENOENT: no such file or directory, open '/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0031.txt'",/._file_0031.txt,/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0031.txt,Destination,Copy Content,OP_FILE_NOT_FOUND,1
ad4f0059-26f5-4414-b54c-2459672d6d7d,Fri Oct 10 2025 13:44:31 GMT+0530 (India Standard Time),fd9f2b45-543d-45bc-af09-3a897abf84b0,MIGRATE,RECOVERABLE_ERROR,"ENOENT: no such file or directory, open '/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0033.txt'",/._file_0033.txt,/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0033.txt,Destination,Copy Content,OP_FILE_NOT_FOUND,1
de6f6c09-166f-4c97-a22e-db0eb6ae851f,Fri Oct 10 2025 13:44:31 GMT+0530 (India Standard Time),fd9f2b45-543d-45bc-af09-3a897abf84b0,MIGRATE,RECOVERABLE_ERROR,"ENOENT: no such file or directory, open '/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0034.txt'",/._file_0034.txt,/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0034.txt,Destination,Copy Content,OP_FILE_NOT_FOUND,1
27c8f085-025b-4eca-a786-78f75cc49e6a,Fri Oct 10 2025 13:44:31 GMT+0530 (India Standard Time),fd9f2b45-543d-45bc-af09-3a897abf84b0,MIGRATE,RECOVERABLE_ERROR,"ENOENT: no such file or directory, open '/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0035.txt'",/._file_0035.txt,/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0035.txt,Destination,Copy Content,OP_FILE_NOT_FOUND,1
a28508ea-abed-4e6b-8460-dea442007b67,Fri Oct 10 2025 13:44:31 GMT+0530 (India Standard Time),fd9f2b45-543d-45bc-af09-3a897abf84b0,MIGRATE,RECOVERABLE_ERROR,"ENOENT: no such file or directory, open '/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0036.txt'",/._file_0036.txt,/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0036.txt,Destination,Copy Content,OP_FILE_NOT_FOUND,1
ea853abb-32c1-4568-8205-241d2402dc3e,Fri Oct 10 2025 13:44:31 GMT+0530 (India Standard Time),fd9f2b45-543d-45bc-af09-3a897abf84b0,MIGRATE,RECOVERABLE_ERROR,"ENOENT: no such file or directory, open '/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0037.txt'",/._file_0037.txt,/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0037.txt,Destination,Copy Content,OP_FILE_NOT_FOUND,1
3aacabe6-61f0-4041-99d2-599635992637,Fri Oct 10 2025 13:44:31 GMT+0530 (India Standard Time),fd9f2b45-543d-45bc-af09-3a897abf84b0,MIGRATE,RECOVERABLE_ERROR,"ENOENT: no such file or directory, open '/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0038.txt'",/._file_0038.txt,/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0038.txt,Destination,Copy Content,OP_FILE_NOT_FOUND,1
6c038ef8-d90e-4d3b-8e3b-6e47e4a19d98,Fri Oct 10 2025 13:44:31 GMT+0530 (India Standard Time),fd9f2b45-543d-45bc-af09-3a897abf84b0,MIGRATE,RECOVERABLE_ERROR,"ENOENT: no such file or directory, open '/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0039.txt'",/._file_0039.txt,/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0039.txt,Destination,Copy Content,OP_FILE_NOT_FOUND,1
0b3ba56e-0a6c-4cab-92b3-e3ceff9afca5,Fri Oct 10 2025 13:44:31 GMT+0530 (India Standard Time),fd9f2b45-543d-45bc-af09-3a897abf84b0,MIGRATE,RECOVERABLE_ERROR,"ENOENT: no such file or directory, open '/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0040.txt'",/._file_0040.txt,/Users/sr74813/Downloads/mounts/fd9f2b45-543d-45bc-af09-3a897abf84b0/d4537b5d-33ce-4237-8c49-3d2978afbafc/._file_0040.txt,Destination,Copy Content,OP_FILE_NOT_FOUND,1
