Source Path,Target Path,Migration Type,Start Time,End Time,status,type,Size,Source Checksum,Target Checksum,External mapping file used,Source BirthTime,Target BirthTime,Source AccessTime,Target AccessTime,Source ModifiedTime,Target ModifiedTime,Source Permission,Target Permission,Source UID,Target UID,Source GID,Target GID,Source SID,Target SID
/srv/nfs_share/file_0807.txt,/srv/nfs_share/file_0807.txt,MIGRATE,Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),success,f,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,No,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,2025-09-02T07:51:57.854Z,2025-09-02T07:51:57.854Z,2025-09-02T07:51:57.854Z,2025-09-02T07:51:57.854Z,-rw-r--r--,-rw-r--r--,0,0,0,0,,
/srv/nfs_share/file_0808.txt,/srv/nfs_share/file_0808.txt,MIGRATE,Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),success,f,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,No,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,2025-09-02T07:51:57.854Z,2025-09-02T07:51:57.854Z,2025-09-02T07:51:57.854Z,2025-09-02T07:51:57.854Z,-rw-r--r--,-rw-r--r--,0,0,0,0,,
/srv/nfs_share/file_0809.txt,/srv/nfs_share/file_0809.txt,MIGRATE,Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),success,f,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,No,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,2025-09-02T07:51:57.854Z,2025-09-02T07:51:57.854Z,2025-09-02T07:51:57.854Z,2025-09-02T07:51:57.854Z,-rw-r--r--,-rw-r--r--,0,0,0,0,,
/srv/nfs_share/file_0810.txt,/srv/nfs_share/file_0810.txt,MIGRATE,Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),success,f,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,No,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,2025-09-02T07:51:57.854Z,2025-09-02T07:51:57.854Z,2025-09-02T07:51:57.854Z,2025-09-02T07:51:57.854Z,-rw-r--r--,-rw-r--r--,0,0,0,0,,
/srv/nfs_share/file_0811.txt,/srv/nfs_share/file_0811.txt,MIGRATE,Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),success,f,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,No,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,-rw-r--r--,-rw-r--r--,0,0,0,0,,
/srv/nfs_share/file_0812.txt,/srv/nfs_share/file_0812.txt,MIGRATE,Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),success,f,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,No,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,-rw-r--r--,-rw-r--r--,0,0,0,0,,
/srv/nfs_share/file_0813.txt,/srv/nfs_share/file_0813.txt,MIGRATE,Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),success,f,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,No,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,-rw-r--r--,-rw-r--r--,0,0,0,0,,
/srv/nfs_share/file_0814.txt,/srv/nfs_share/file_0814.txt,MIGRATE,Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),success,f,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,No,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,-rw-r--r--,-rw-r--r--,0,0,0,0,,
/srv/nfs_share/file_0815.txt,/srv/nfs_share/file_0815.txt,MIGRATE,Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),success,f,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,No,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,2025-09-02T07:51:57.855Z,-rw-r--r--,-rw-r--r--,0,0,0,0,,
/srv/nfs_share/file_0816.txt,/srv/nfs_share/file_0816.txt,MIGRATE,Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),Sat Oct 11 2025 15:06:48 GMT+0530 (India Standard Time),success,f,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,No,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,2025-09-02T07:51:57.856Z,2025-09-02T07:51:57.856Z,2025-09-02T07:51:57.856Z,2025-09-02T07:51:57.856Z,-rw-r--r--,-rw-r--r--,0,0,0,0,,
